Name,StudyHours,Attendance,Result,ResultNumeric,TotalMarks
Student_1822,1.21,79.4,Pass,1,58.96
Student_1823,6.15,66.18,Pass,1,77.55
Student_1824,7.75,87.39,Pass,1,100.0
Student_1825,6.44,89.07,Pass,1,100.0
Student_1826,5.3,57.43,Pass,1,74.05
Student_1827,0.42,60.38,Fail,0,33.59
Student_1828,9.68,96.16,Pass,1,100.0
Student_1829,7.99,49.88,Pass,1,93.86
Student_1830,2.93,42.53,Pass,1,47.88
Student_1831,9.8,67.24,Pass,1,100.0
Student_1832,6.02,88.07,Pass,1,100.0
Student_1833,5.82,86.3,Pass,1,85.21
Student_1834,7.48,95.17,Pass,1,100.0
Student_1835,8.12,71.99,Pass,1,100.0
Student_1836,6.56,46.0,Pass,1,81.29
Student_1837,1.28,75.32,Pass,1,47.61
Student_1838,3.38,86.7,Pass,1,80.18
Student_1839,9.28,45.6,Pass,1,96.39
Student_1840,2.25,50.36,Pass,1,44.15
Student_1841,3.72,40.74,Pass,1,57.79
Student_1842,4.32,75.62,Pass,1,90.0
Student_1843,4.39,93.2,Pass,1,91.3
Student_1844,6.13,80.24,Pass,1,93.1
Student_1845,9.43,98.92,Pass,1,100.0
Student_1846,2.41,43.78,Pass,1,50.24
Student_1847,1.22,94.18,Pass,1,69.37
Student_1848,1.97,88.84,Pass,1,82.78
Student_1849,8.87,58.85,Pass,1,100.0
Student_1850,6.46,98.41,Pass,1,100.0
Student_1851,2.86,57.28,Pass,1,64.99
Student_1852,8.16,93.36,Pass,1,100.0
Student_1853,8.61,92.84,Pass,1,100.0
Student_1854,8.47,85.46,Pass,1,100.0
Student_1855,9.19,73.81,Pass,1,100.0
Student_1856,2.52,47.2,Pass,1,62.93
Student_1857,7.55,71.92,Pass,1,100.0
Student_1858,4.61,61.41,Pass,1,71.89
Student_1859,8.42,87.53,Pass,1,100.0
Student_1860,7.28,85.49,Pass,1,100.0
Student_1861,7.76,94.64,Pass,1,100.0
Student_1862,6.56,40.89,Pass,1,72.77
Student_1863,1.77,88.55,Pass,1,66.27
Student_1864,5.45,96.31,Pass,1,100.0
Student_1865,9.85,87.36,Pass,1,100.0
Student_1866,9.37,47.81,Pass,1,99.15
Student_1867,0.43,44.88,Fail,0,27.3
Student_1868,1.65,41.25,Fail,0,29.69
Student_1869,1.32,77.72,Pass,1,62.39
Student_1870,7.26,77.78,Pass,1,100.0
Student_1871,8.18,99.21,Pass,1,100.0
Student_1872,2.14,63.88,Pass,1,62.56
Student_1873,5.06,59.91,Pass,1,77.53
Student_1874,8.41,77.47,Pass,1,100.0
Student_1875,7.33,89.54,Pass,1,100.0
Student_1876,5.42,96.21,Pass,1,100.0
Student_1877,5.9,88.19,Pass,1,100.0
Student_1878,5.08,65.6,Pass,1,81.55
Student_1879,2.98,78.09,Pass,1,67.97
Student_1880,5.65,91.38,Pass,1,100.0
Student_1881,6.89,69.44,Pass,1,100.0
Student_1882,8.73,53.0,Pass,1,94.95
Student_1883,6.36,50.18,Pass,1,88.65
Student_1884,7.61,40.01,Pass,1,86.71
Student_1885,1.6,83.09,Pass,1,64.07
Student_1886,4.62,46.67,Pass,1,70.0
Student_1887,0.09,54.63,Fail,0,30.66
Student_1888,2.47,57.87,Pass,1,59.25
Student_1889,7.26,73.62,Pass,1,100.0
Student_1890,9.92,63.88,Pass,1,100.0
Student_1891,0.99,80.48,Pass,1,51.22
Student_1892,4.01,43.34,Pass,1,60.92
Student_1893,8.0,47.44,Pass,1,87.74
Student_1894,2.04,69.95,Pass,1,66.34
Student_1895,5.55,60.22,Pass,1,86.48
Student_1896,7.33,57.75,Pass,1,99.96
Student_1897,6.16,44.02,Pass,1,76.32
Student_1898,1.88,93.74,Pass,1,72.57
Student_1899,3.55,81.51,Pass,1,71.34
Student_1900,7.84,47.3,Pass,1,96.08
Student_1901,5.54,43.9,Pass,1,72.56
Student_1902,0.05,98.49,Pass,1,62.33
Student_1903,7.61,80.87,Pass,1,100.0
Student_1904,0.35,65.05,Fail,0,38.8
Student_1905,7.46,82.1,Pass,1,100.0
Student_1906,2.02,85.38,Pass,1,69.02
Student_1907,9.58,86.8,Pass,1,100.0
Student_1908,3.68,68.67,Pass,1,69.7
Student_1909,3.27,65.79,Pass,1,68.1
Student_1910,1.49,40.66,Fail,0,34.69
Student_1911,3.06,95.59,Pass,1,88.38
Student_1912,8.77,76.2,Pass,1,100.0
Student_1913,9.96,52.19,Pass,1,100.0
Student_1914,3.68,95.18,Pass,1,89.85
Student_1915,4.49,94.9,Pass,1,90.02
Student_1916,7.22,99.35,Pass,1,100.0
Student_1917,8.86,92.44,Pass,1,100.0
Student_1918,5.93,99.87,Pass,1,100.0
Student_1919,3.92,54.68,Pass,1,69.4
Student_1920,4.13,90.53,Pass,1,87.08
Student_1921,6.96,89.38,Pass,1,100.0
Student_1922,0.03,53.86,Fail,0,29.46
Student_1923,6.2,45.91,Pass,1,80.68
Student_1924,3.55,98.77,Pass,1,84.07
Student_1925,7.94,57.76,Pass,1,93.35
Student_1926,0.93,92.25,Pass,1,62.25
Student_1927,5.88,40.25,Pass,1,67.87
Student_1928,4.81,41.26,Pass,1,55.52
Student_1929,6.42,67.95,Pass,1,91.22
Student_1930,0.65,54.32,Fail,0,38.32
Student_1931,5.8,81.39,Pass,1,100.0
Student_1932,5.61,73.93,Pass,1,93.92
Student_1933,5.61,44.65,Pass,1,77.77
Student_1934,6.03,49.76,Pass,1,81.7
Student_1935,6.76,63.28,Pass,1,93.71
Student_1936,8.05,51.14,Pass,1,88.94
Student_1937,2.7,87.53,Pass,1,74.87
Student_1938,8.25,64.96,Pass,1,100.0
Student_1939,4.98,45.61,Pass,1,74.49
Student_1940,0.77,69.06,Pass,1,51.03
Student_1941,0.59,45.45,Fail,0,38.19
Student_1942,3.34,47.74,Pass,1,50.2
Student_1943,7.85,54.38,Pass,1,93.8
Student_1944,7.08,91.57,Pass,1,100.0
Student_1945,7.89,95.48,Pass,1,100.0
Student_1946,5.17,89.58,Pass,1,94.38
Student_1947,4.4,60.04,Pass,1,70.81
Student_1948,1.47,56.35,Pass,1,49.01
Student_1949,3.28,72.95,Pass,1,64.38
Student_1950,4.34,83.31,Pass,1,92.74
Student_1951,0.89,99.6,Pass,1,62.48
Student_1952,2.21,47.89,Fail,0,36.82
Student_1953,5.98,42.96,Pass,1,73.67
Student_1954,7.36,81.66,Pass,1,100.0
Student_1955,9.98,89.93,Pass,1,100.0
Student_1956,9.33,90.78,Pass,1,100.0
Student_1957,6.43,80.71,Pass,1,100.0
Student_1958,4.21,97.24,Pass,1,91.26
Student_1959,6.36,70.66,Pass,1,85.55
Student_1960,7.86,94.83,Pass,1,100.0
Student_1961,1.18,98.07,Pass,1,69.26
Student_1962,4.1,90.83,Pass,1,93.86
Student_1963,8.4,58.59,Pass,1,100.0
Student_1964,3.84,51.77,Pass,1,64.9
Student_1965,5.72,72.89,Pass,1,97.41
Student_1966,5.88,67.18,Pass,1,88.99
Student_1967,1.84,92.67,Pass,1,69.71
Student_1968,3.62,46.0,Pass,1,52.47
Student_1969,3.35,55.46,Pass,1,70.19
Student_1970,0.26,85.11,Pass,1,55.78
Student_1971,0.24,45.7,Fail,0,24.62
Student_1972,8.32,59.25,Pass,1,96.25
Student_1973,2.73,63.23,Pass,1,66.04
Student_1974,5.18,77.36,Pass,1,82.67
Student_1975,2.99,49.49,Pass,1,62.88
Student_1976,9.41,91.64,Pass,1,100.0
Student_1977,2.59,66.85,Pass,1,67.94
Student_1978,4.3,95.02,Pass,1,93.85
Student_1979,8.73,68.07,Pass,1,100.0
Student_1980,8.42,56.5,Pass,1,100.0
Student_1981,1.86,48.51,Pass,1,53.44
Student_1982,8.03,40.22,Pass,1,91.91
Student_1983,4.58,71.93,Pass,1,75.28
Student_1984,4.83,46.43,Pass,1,57.9
Student_1985,1.33,63.5,Pass,1,49.63
Student_1986,0.81,75.36,Pass,1,51.69
Student_1987,7.28,56.54,Pass,1,84.56
Student_1988,4.96,50.51,Pass,1,69.71
Student_1989,4.37,86.48,Pass,1,83.98
Student_1990,7.3,96.81,Pass,1,100.0
Student_1991,7.66,46.03,Pass,1,92.53
Student_1992,1.59,49.34,Pass,1,49.79
Student_1993,6.1,97.6,Pass,1,100.0
Student_1994,1.35,42.27,Fail,0,32.55
Student_1995,7.51,98.66,Pass,1,100.0
Student_1996,6.57,40.28,Pass,1,77.04
Student_1997,9.57,92.42,Pass,1,100.0
Student_1998,0.69,58.44,Pass,1,42.58
Student_1999,0.57,96.32,Pass,1,71.64
Student_2000,2.82,59.02,Pass,1,58.13
Student_2001,2.62,79.26,Pass,1,60.55
Student_2002,2.47,44.8,Pass,1,46.79
Student_2003,9.06,54.54,Pass,1,99.14
Student_2004,2.5,86.42,Pass,1,76.17
Student_2005,2.72,71.72,Pass,1,67.42
Student_2006,7.59,95.68,Pass,1,100.0
Student_2007,4.5,65.73,Pass,1,73.78
Student_2008,7.77,92.19,Pass,1,100.0
Student_2009,0.65,66.94,Pass,1,45.41
Student_2010,4.88,98.75,Pass,1,94.43
Student_2011,0.34,97.59,Pass,1,54.34
Student_2012,0.63,59.75,Pass,1,46.58
Student_2013,9.06,93.16,Pass,1,100.0
Student_2014,1.39,90.86,Pass,1,66.47
Student_2015,5.32,52.64,Pass,1,75.57
Student_2016,4.11,77.46,Pass,1,80.97
Student_2017,3.47,44.36,Pass,1,48.51
Student_2018,9.0,90.2,Pass,1,100.0
Student_2019,0.22,50.47,Fail,0,29.1
Student_2020,6.64,44.25,Pass,1,81.65
Student_2021,9.63,64.01,Pass,1,100.0
Student_2022,5.6,74.62,Pass,1,87.8
Student_2023,9.37,91.3,Pass,1,100.0
Student_2024,0.52,98.45,Pass,1,54.0
Student_2025,4.19,66.37,Pass,1,69.57
Student_2026,2.6,43.63,Pass,1,56.46
Student_2027,7.31,84.95,Pass,1,100.0
Student_2028,9.81,73.91,Pass,1,100.0
Student_2029,2.57,66.87,Pass,1,66.53
Student_2030,6.54,58.56,Pass,1,87.73
Student_2031,1.98,70.14,Pass,1,56.18
Student_2032,5.65,60.32,Pass,1,82.35
Student_2033,4.64,85.42,Pass,1,85.08
Student_2034,9.72,72.63,Pass,1,100.0
Student_2035,6.09,92.61,Pass,1,100.0
Student_2036,3.5,72.61,Pass,1,66.51
Student_2037,1.14,54.3,Pass,1,41.75
Student_2038,1.51,91.07,Pass,1,68.49
Student_2039,2.25,73.43,Pass,1,66.32
Student_2040,2.51,52.41,Pass,1,57.17
Student_2041,8.51,77.41,Pass,1,100.0
Student_2042,5.61,61.46,Pass,1,84.25
Student_2043,5.23,90.66,Pass,1,98.7
Student_2044,1.15,67.2,Pass,1,51.16
Student_2045,8.6,83.59,Pass,1,100.0
Student_2046,7.23,45.73,Pass,1,80.14
Student_2047,0.68,63.76,Pass,1,46.21
Student_2048,7.08,98.99,Pass,1,100.0
Student_2049,5.44,88.51,Pass,1,95.29
Student_2050,0.82,49.6,Fail,0,23.55
Student_2051,4.58,56.67,Pass,1,63.96
Student_2052,4.85,59.79,Pass,1,70.29
Student_2053,1.66,79.02,Pass,1,66.18
Student_2054,9.46,85.42,Pass,1,100.0
Student_2055,8.5,84.97,Pass,1,100.0
Student_2056,6.69,70.59,Pass,1,99.52
Student_2057,4.62,88.65,Pass,1,94.59
Student_2058,4.12,66.22,Pass,1,71.89
Student_2059,6.51,47.43,Pass,1,73.62
Student_2060,5.45,73.87,Pass,1,86.88
Student_2061,0.62,97.14,Pass,1,62.75
Student_2062,5.13,87.58,Pass,1,87.43
Student_2063,8.06,74.72,Pass,1,100.0
Student_2064,4.59,78.81,Pass,1,85.41
Student_2065,0.52,95.83,Pass,1,63.88
Student_2066,7.86,65.7,Pass,1,100.0
Student_2067,2.01,59.88,Pass,1,55.66
Student_2068,2.59,98.63,Pass,1,79.0
Student_2069,1.65,91.81,Pass,1,69.29
Student_2070,3.3,59.38,Pass,1,60.04
Student_2071,7.57,67.83,Pass,1,98.34
Student_2072,5.19,64.9,Pass,1,87.15
Student_2073,2.05,48.95,Fail,0,35.55
Student_2074,8.78,97.47,Pass,1,100.0
Student_2075,8.8,64.26,Pass,1,100.0
Student_2076,8.71,92.52,Pass,1,100.0
Student_2077,2.39,51.36,Pass,1,51.24
Student_2078,4.51,72.87,Pass,1,72.35
Student_2079,9.85,41.44,Pass,1,99.58
Student_2080,7.72,85.85,Pass,1,100.0
Student_2081,0.27,74.85,Pass,1,45.96
Student_2082,0.65,77.54,Pass,1,47.7
Student_2083,4.64,43.1,Pass,1,70.99
Student_2084,9.09,52.66,Pass,1,100.0
Student_2085,5.39,44.46,Pass,1,59.69
Student_2086,4.98,57.33,Pass,1,76.96
Student_2087,1.05,77.65,Pass,1,59.28
Student_2088,6.57,73.97,Pass,1,99.66
Student_2089,8.22,76.73,Pass,1,100.0
Student_2090,3.8,72.96,Pass,1,72.96
Student_2091,7.76,56.38,Pass,1,92.17
Student_2092,9.64,54.67,Pass,1,100.0
Student_2093,2.04,48.22,Fail,0,39.2
Student_2094,5.23,90.94,Pass,1,95.83
Student_2095,2.87,76.99,Pass,1,61.64
Student_2096,7.93,51.19,Pass,1,93.15
Student_2097,5.78,50.63,Pass,1,70.38
Student_2098,6.35,92.38,Pass,1,100.0
Student_2099,7.98,84.56,Pass,1,100.0
Student_2100,3.96,79.56,Pass,1,80.87
Student_2101,9.15,64.41,Pass,1,100.0
Student_2102,5.33,55.72,Pass,1,84.02
Student_2103,1.58,98.77,Pass,1,59.26
Student_2104,6.96,87.83,Pass,1,100.0
Student_2105,7.93,58.11,Pass,1,96.79
Student_2106,3.17,90.85,Pass,1,82.17
Student_2107,8.57,85.54,Pass,1,100.0
Student_2108,9.06,57.82,Pass,1,100.0
Student_2109,2.77,65.59,Pass,1,62.17
Student_2110,9.84,51.16,Pass,1,100.0
Student_2111,1.41,46.66,Pass,1,41.16
Student_2112,2.02,83.37,Pass,1,68.4
Student_2113,1.84,56.05,Pass,1,50.04
Student_2114,8.94,89.2,Pass,1,100.0
Student_2115,6.54,99.74,Pass,1,100.0
Student_2116,1.52,44.6,Pass,1,42.24
Student_2117,4.4,68.38,Pass,1,65.03
Student_2118,6.15,88.12,Pass,1,100.0
Student_2119,0.83,87.34,Pass,1,48.02
Student_2120,8.82,85.6,Pass,1,100.0
Student_2121,8.04,60.94,Pass,1,99.75
Student_2122,5.05,67.23,Pass,1,84.1
Student_2123,9.67,75.7,Pass,1,100.0
Student_2124,4.18,98.44,Pass,1,92.36
Student_2125,9.84,59.65,Pass,1,100.0
Student_2126,6.68,95.39,Pass,1,100.0
Student_2127,6.35,56.16,Pass,1,81.01
Student_2128,1.66,99.34,Pass,1,71.38
Student_2129,8.82,80.22,Pass,1,100.0
Student_2130,4.27,67.81,Pass,1,72.88
Student_2131,1.62,76.8,Pass,1,53.88
Student_2132,0.13,56.35,Fail,0,30.4
Student_2133,5.6,56.45,Pass,1,80.84
Student_2134,5.27,46.81,Pass,1,70.9
Student_2135,7.19,46.84,Pass,1,88.08
Student_2136,8.9,60.86,Pass,1,100.0
Student_2137,0.79,85.77,Pass,1,61.3
Student_2138,7.31,76.48,Pass,1,100.0
Student_2139,1.87,46.16,Fail,0,33.95
Student_2140,8.58,91.13,Pass,1,100.0
Student_2141,8.19,76.08,Pass,1,100.0
Student_2142,5.41,97.65,Pass,1,100.0
Student_2143,7.1,80.21,Pass,1,100.0
Student_2144,3.14,50.51,Pass,1,59.99
Student_2145,4.71,68.43,Pass,1,88.64
Student_2146,8.22,78.91,Pass,1,100.0
Student_2147,4.59,41.7,Pass,1,62.16
Student_2148,3.58,40.89,Pass,1,57.42
Student_2149,4.94,47.76,Pass,1,58.85
Student_2150,8.28,55.1,Pass,1,99.44
Student_2151,3.35,65.77,Pass,1,71.16
Student_2152,1.74,69.25,Pass,1,52.25
Student_2153,7.12,48.28,Pass,1,79.8
Student_2154,8.26,80.4,Pass,1,100.0
Student_2155,1.01,75.77,Pass,1,53.24
Student_2156,2.4,57.67,Pass,1,49.26
Student_2157,1.42,40.82,Pass,1,46.33
Student_2158,3.48,44.66,Pass,1,52.24
Student_2159,4.5,63.5,Pass,1,68.33
Student_2160,7.49,49.24,Pass,1,89.0
Student_2161,6.51,62.61,Pass,1,94.19
Student_2162,6.21,77.69,Pass,1,96.38
Student_2163,3.52,72.83,Pass,1,74.29
Student_2164,8.41,53.87,Pass,1,95.24
Student_2165,4.71,60.63,Pass,1,81.5
Student_2166,9.79,76.84,Pass,1,100.0
Student_2167,6.34,91.65,Pass,1,100.0
Student_2168,1.26,85.19,Pass,1,63.02
Student_2169,6.76,73.2,Pass,1,100.0
Student_2170,3.25,61.74,Pass,1,58.68
Student_2171,6.86,61.9,Pass,1,89.56
Student_2172,0.7,92.77,Pass,1,67.99
Student_2173,1.75,42.35,Pass,1,47.21
Student_2174,8.56,99.28,Pass,1,100.0
Student_2175,2.27,79.86,Pass,1,67.32
Student_2176,8.37,80.87,Pass,1,100.0
Student_2177,2.79,42.28,Pass,1,44.2
Student_2178,6.43,76.33,Pass,1,98.66
Student_2179,6.94,69.09,Pass,1,100.0
Student_2180,5.13,46.35,Pass,1,71.11
Student_2181,3.05,56.68,Pass,1,56.81
Student_2182,2.13,93.42,Pass,1,75.67
Student_2183,0.33,73.0,Pass,1,44.64
Student_2184,3.04,64.8,Pass,1,65.26
Student_2185,6.53,44.36,Pass,1,85.84
Student_2186,9.38,82.85,Pass,1,100.0
Student_2187,8.71,82.17,Pass,1,100.0
Student_2188,7.66,76.84,Pass,1,99.69
Student_2189,7.88,70.62,Pass,1,100.0
Student_2190,6.65,66.03,Pass,1,89.63
Student_2191,2.6,75.6,Pass,1,60.07
Student_2192,9.07,54.0,Pass,1,100.0
Student_2193,6.71,96.48,Pass,1,100.0
Student_2194,5.6,75.33,Pass,1,85.0
Student_2195,1.11,58.67,Fail,0,37.82
Student_2196,4.47,66.98,Pass,1,75.01
Student_2197,4.6,88.34,Pass,1,83.78
Student_2198,8.65,49.7,Pass,1,93.71
Student_2199,5.47,57.57,Pass,1,78.88
Student_2200,3.8,80.77,Pass,1,74.03
Student_2201,9.77,58.93,Pass,1,100.0
Student_2202,1.11,87.55,Pass,1,68.86
Student_2203,4.23,47.83,Pass,1,61.8
Student_2204,0.42,85.76,Pass,1,55.47
Student_2205,7.4,44.1,Pass,1,95.75
Student_2206,9.18,40.76,Pass,1,91.96
Student_2207,2.8,93.89,Pass,1,84.69
Student_2208,8.58,74.88,Pass,1,100.0
Student_2209,2.92,61.11,Pass,1,64.3
Student_2210,9.11,53.96,Pass,1,100.0
Student_2211,7.54,77.01,Pass,1,100.0
Student_2212,8.05,70.54,Pass,1,100.0
Student_2213,0.18,99.5,Pass,1,66.61
Student_2214,9.63,98.99,Pass,1,100.0
Student_2215,7.27,78.1,Pass,1,100.0
Student_2216,3.05,66.57,Pass,1,64.56
Student_2217,8.29,69.47,Pass,1,100.0
Student_2218,2.82,80.95,Pass,1,72.09
Student_2219,8.73,46.09,Pass,1,100.0
Student_2220,1.13,59.7,Pass,1,49.98
Student_2221,7.04,44.52,Pass,1,80.88
Student_2222,5.41,44.4,Pass,1,71.5
Student_2223,0.97,51.75,Fail,0,32.27
Student_2224,2.42,69.12,Pass,1,65.76
Student_2225,0.12,87.09,Pass,1,49.3
Student_2226,4.69,69.13,Pass,1,82.92
Student_2227,3.01,60.13,Pass,1,54.41
Student_2228,5.98,44.94,Pass,1,79.96
Student_2229,2.97,73.02,Pass,1,69.18
Student_2230,3.0,56.28,Pass,1,53.86
Student_2231,7.43,76.9,Pass,1,100.0
Student_2232,0.48,98.63,Pass,1,60.07
Student_2233,9.03,46.68,Pass,1,100.0
Student_2234,8.52,52.73,Pass,1,98.43
Student_2235,6.68,68.39,Pass,1,85.87
Student_2236,5.93,98.12,Pass,1,100.0
Student_2237,8.92,86.31,Pass,1,100.0
Student_2238,1.85,93.89,Pass,1,77.97
Student_2239,0.79,60.02,Pass,1,46.84
Student_2240,2.4,99.52,Pass,1,87.03
Student_2241,7.95,46.17,Pass,1,99.57
Student_2242,0.35,43.18,Fail,0,26.03
Student_2243,5.83,91.34,Pass,1,100.0
Student_2244,9.95,95.64,Pass,1,100.0
Student_2245,8.56,45.44,Pass,1,92.39
Student_2246,5.21,46.81,Pass,1,60.56
Student_2247,0.64,41.99,Fail,0,30.24
Student_2248,8.31,46.27,Pass,1,87.81
Student_2249,5.99,52.57,Pass,1,79.29
Student_2250,1.15,98.2,Pass,1,78.7
Student_2251,0.94,80.07,Pass,1,53.02
Student_2252,9.1,86.71,Pass,1,100.0
Student_2253,6.69,86.57,Pass,1,100.0
Student_2254,8.29,72.1,Pass,1,100.0
Student_2255,8.79,87.85,Pass,1,100.0
Student_2256,5.72,75.75,Pass,1,89.4
Student_2257,5.17,58.87,Pass,1,75.52
Student_2258,4.3,73.67,Pass,1,73.8
Student_2259,3.17,72.01,Pass,1,72.8
Student_2260,4.35,89.41,Pass,1,79.74
Student_2261,7.74,98.9,Pass,1,100.0
Student_2262,6.02,64.66,Pass,1,79.94
Student_2263,8.93,85.8,Pass,1,100.0
Student_2264,4.43,45.99,Pass,1,61.26
Student_2265,6.07,86.61,Pass,1,94.37
Student_2266,6.31,62.29,Pass,1,90.75
Student_2267,5.92,42.36,Pass,1,77.42
Student_2268,7.03,61.79,Pass,1,91.12
Student_2269,2.37,76.64,Pass,1,68.55
Student_2270,5.12,47.16,Pass,1,57.83
Student_2271,1.04,95.44,Pass,1,58.98
Student_2272,3.85,44.66,Pass,1,64.06
Student_2273,4.88,95.8,Pass,1,95.4
Student_2274,6.52,82.43,Pass,1,92.31
Student_2275,9.51,59.78,Pass,1,100.0
Student_2276,6.01,63.45,Pass,1,81.53
Student_2277,7.44,84.45,Pass,1,100.0
Student_2278,5.06,76.09,Pass,1,84.28
Student_2279,6.34,80.3,Pass,1,99.79
Student_2280,0.71,63.35,Pass,1,43.34
Student_2281,2.54,69.27,Pass,1,68.68
Student_2282,3.62,99.39,Pass,1,90.72
Student_2283,4.72,52.84,Pass,1,71.75
Student_2284,0.46,65.07,Pass,1,48.55
Student_2285,1.4,57.51,Pass,1,43.76
Student_2286,2.77,85.91,Pass,1,67.4
Student_2287,9.72,85.84,Pass,1,100.0
Student_2288,3.31,57.55,Pass,1,61.69
Student_2289,4.82,44.88,Pass,1,66.18
Student_2290,1.96,40.69,Fail,0,36.93
Student_2291,6.11,65.65,Pass,1,85.19
Student_2292,2.81,64.62,Pass,1,65.49
Student_2293,2.07,99.3,Pass,1,81.06
Student_2294,5.17,68.19,Pass,1,86.19
Student_2295,0.06,55.39,Fail,0,37.68
Student_2296,0.08,93.47,Pass,1,59.57
Student_2297,2.19,69.46,Pass,1,59.85
Student_2298,0.37,75.95,Pass,1,47.65
Student_2299,1.08,45.74,Pass,1,42.14
Student_2300,3.39,62.97,Pass,1,63.03
Student_2301,8.03,96.65,Pass,1,100.0
Student_2302,5.72,75.37,Pass,1,86.96
Student_2303,5.13,60.67,Pass,1,74.15
Student_2304,2.93,77.54,Pass,1,68.78
Student_2305,9.32,94.62,Pass,1,100.0
Student_2306,3.97,56.44,Pass,1,69.61
Student_2307,0.87,70.31,Pass,1,42.41
Student_2308,6.17,97.52,Pass,1,100.0
Student_2309,1.14,50.34,Fail,0,39.99
Student_2310,3.45,83.18,Pass,1,68.45
Student_2311,5.07,76.87,Pass,1,84.48
Student_2312,8.74,80.78,Pass,1,100.0
Student_2313,4.94,61.07,Pass,1,78.31
Student_2314,7.02,58.83,Pass,1,90.44
Student_2315,9.93,81.05,Pass,1,100.0
Student_2316,1.31,52.93,Pass,1,41.69
Student_2317,2.75,65.18,Pass,1,61.18
Student_2318,3.95,51.29,Pass,1,63.63
Student_2319,4.22,40.5,Pass,1,62.69
Student_2320,4.11,98.2,Pass,1,88.42
Student_2321,9.08,65.9,Pass,1,100.0
Student_2322,7.14,98.16,Pass,1,100.0
Student_2323,6.08,48.42,Pass,1,76.03
Student_2324,3.09,75.24,Pass,1,77.0
Student_2325,8.24,52.06,Pass,1,100.0
Student_2326,9.55,87.4,Pass,1,100.0
Student_2327,8.21,87.02,Pass,1,100.0
Student_2328,0.02,46.76,Fail,0,30.08
Student_2329,6.36,94.72,Pass,1,100.0
Student_2330,0.51,51.68,Fail,0,31.46
Student_2331,2.58,76.78,Pass,1,73.43
Student_2332,0.6,99.14,Pass,1,61.22
Student_2333,6.04,92.94,Pass,1,100.0
Student_2334,6.87,97.39,Pass,1,100.0
Student_2335,1.14,60.56,Pass,1,41.79
Student_2336,3.84,46.33,Pass,1,54.07
Student_2337,4.56,51.3,Pass,1,65.88
Student_2338,3.69,70.03,Pass,1,66.09
Student_2339,1.21,87.59,Pass,1,62.84
Student_2340,4.19,49.01,Pass,1,61.9
Student_2341,7.51,79.58,Pass,1,100.0
Student_2342,0.71,59.41,Pass,1,48.31
Student_2343,0.8,60.47,Pass,1,46.77
Student_2344,3.55,79.72,Pass,1,78.68
Student_2345,9.42,68.02,Pass,1,100.0
Student_2346,6.69,88.72,Pass,1,100.0
Student_2347,6.79,49.36,Pass,1,92.55
Student_2348,3.62,87.4,Pass,1,66.35
Student_2349,5.94,43.85,Pass,1,77.28
Student_2350,0.1,51.64,Fail,0,30.99
Student_2351,6.36,79.37,Pass,1,94.25
Student_2352,9.13,91.3,Pass,1,100.0
Student_2353,6.13,55.16,Pass,1,90.68
Student_2354,8.74,59.63,Pass,1,100.0
Student_2355,7.24,72.23,Pass,1,99.4
Student_2356,1.21,52.69,Fail,0,36.58
Student_2357,9.02,88.67,Pass,1,100.0
Student_2358,0.66,86.42,Pass,1,61.5
Student_2359,5.34,48.72,Pass,1,70.02
Student_2360,1.42,67.83,Pass,1,50.61
Student_2361,0.12,86.49,Pass,1,66.96
Student_2362,4.22,60.24,Pass,1,75.3
Student_2363,2.95,77.99,Pass,1,76.14
Student_2364,4.86,43.01,Pass,1,57.38
Student_2365,5.77,76.52,Pass,1,88.54
Student_2366,0.44,49.16,Fail,0,33.39
Student_2367,1.23,89.83,Pass,1,58.73
Student_2368,5.59,61.33,Pass,1,89.52
Student_2369,3.43,56.89,Pass,1,68.63
Student_2370,7.29,90.45,Pass,1,100.0
Student_2371,6.52,43.01,Pass,1,86.89
Student_2372,8.46,63.8,Pass,1,100.0
Student_2373,6.92,62.2,Pass,1,100.0
Student_2374,4.3,57.09,Pass,1,69.38
Student_2375,6.73,94.71,Pass,1,100.0
Student_2376,2.75,85.06,Pass,1,80.04
Student_2377,3.06,43.84,Pass,1,57.17
Student_2378,7.89,82.88,Pass,1,100.0
Student_2379,4.46,71.64,Pass,1,77.96
Student_2380,7.98,94.05,Pass,1,100.0
Student_2381,8.22,58.78,Pass,1,96.95
Student_2382,8.58,74.45,Pass,1,100.0
Student_2383,9.17,70.05,Pass,1,100.0
Student_2384,4.31,69.37,Pass,1,67.2
Student_2385,3.19,67.37,Pass,1,66.19
Student_2386,5.82,52.34,Pass,1,84.28
Student_2387,3.71,85.34,Pass,1,85.51
Student_2388,6.01,67.08,Pass,1,87.92
Student_2389,7.06,97.51,Pass,1,100.0
Student_2390,6.88,55.65,Pass,1,85.58
Student_2391,3.75,80.96,Pass,1,68.99
Student_2392,1.67,96.44,Pass,1,60.31
Student_2393,4.31,79.81,Pass,1,76.46
Student_2394,1.43,92.28,Pass,1,70.89
Student_2395,8.9,89.65,Pass,1,100.0
Student_2396,3.46,61.61,Pass,1,66.95
Student_2397,1.54,76.01,Pass,1,66.16
Student_2398,0.25,49.38,Fail,0,26.13
Student_2399,6.46,72.13,Pass,1,97.35
Student_2400,6.37,53.83,Pass,1,85.95
Student_2401,3.41,84.62,Pass,1,73.75
Student_2402,0.72,71.68,Pass,1,55.54
Student_2403,4.1,64.67,Pass,1,70.16
